Fund,Primary Location,Investment Sectors,Fund Type,Current Fund Size,Stage Invested,Average check size,State (if U.S.),Investment Geography,Info,URL,Linkedin,Country
Juxtapose,New York,All Sectors,Venture Studio,,"PreSeed,Seed",$5MM,NY,,,https://www.juxtapose.com,https://www.linkedin.com/company/gilgamesh-pharmaceuticals,United States
K50 Ventures,New York,"Future of Work,Education,Fintech,Healthcare,Health,Health Care Services,PropTech,Workforce,Medtech",Institutional Venture Capital (VC),$25MM,"PreSeed,Seed","Up to $250K, $100K - $1MM",NY,Globally,,https://www.k50ventures.com,https://www.linkedin.com/company/k50-ventures,United States
Kairos HQ,New York,"Fintech,Female Founders,Food,Health,Health Care Services,Insurtech,Consumer,Wellness,Technology,Mental Health,Medtech,Silver Tech,Healthcare,Biotech,Femtech","Venture Studio,Growth Equity",$115MM,"Series A,Seed,PreSeed,Series B","$1-20MM, $300k",NY,"United States,Europe",,https://www.kairoshq.com,https://www.linkedin.com/company/kairos-hq,United States
Kapor Capital,"San Francisco Bay Area,Oakland,New York,Washington DC","Healthcare,Civic Tech,Diversity,Energy,Education,Female Founders,Health,All Sectors,Fintech,Legal,Clean Tech,Mental Health,Sustainability,Future of Work,Social Impact,Wellness,Workforce,Community,Digital Media,HRTech,Media","Family Office,Impact Fund",$126MM,"Seed,Series A,PreSeed,Growth","Less than $250k, $500k, $1MM, $500K - $1MM","CA,NY,DC","North America,United States",,https://www.kaporcapital.com,https://www.linkedin.com/company/kapor-capital,United States
KarpReilly,New York,"Consumer,Food,Retail",Growth Equity,$300MM,"Growth,Series A,Series B",$10MM - $15MM,NY,United States,,https://karpreilly.com,https://www.linkedin.com/company/karpreilly,United States
Kassandra Global,New York,All Sectors,Other,$250MM,"Series A,Growth,PreSeed,Secondary",Depends,NY,"Africa,LatAm,Globally",,https://www.kassandraglobal.com,https://www.linkedin.com/company/kassandra-global,United States
KawiSafi Ventures,New York,"Energy,Fintech,AgTech,Clean Tech,Manufacturing,SaaS,Mobility,Sustainability",Impact Fund,$67MM,Series B,$4MM,NY,Africa,,https://www.kawisafi.com,https://www.linkedin.com/company/kawisafi-ventures,United States
Kensington Capital Partners Ltd.,New York,All Sectors,"Evergreen Fund,Growth Equity,Institutional Venture Capital (VC)",,"Growth,Series A,Series B",Varies,NY,North America,,https://www.kcpl.ca,https://www.linkedin.com/company/kensington-capital-partners,United States
Keyframe Capital,New York,"All Sectors,AgTech,Clean Tech,Energy,Logistics,Mobility,Transportation,Infrastructure","Growth Equity,Institutional Venture Capital (VC),Evergreen Fund",$300MM,"Seed,Series A,Series B,Growth","$5-10MM, $8-20MM, $30MM",NY,"North America,Globally,Europe,United States",,https://keyframecapital.com,https://www.linkedin.com/company/keyframe-capital,United States
Khasma Capital,New York,"Clean Tech,Infrastructure",Growth Equity,$50MM,"Series B,Series A",$5MM,NY,North America,,https://www.khasma.com,https://www.linkedin.com/company/khasma-capital,United States
Khora Ventures,"New York,Mexico City",Fintech,Institutional Venture Capital (VC),,"PreSeed,Seed",$200K,NY,"Africa,Asia,LatAm",,https://khoraventures.com,https://www.linkedin.com/company/khora-ventures,"United States, Mexico"
Kinetik Ventures,New York,"Technology,Health,Energy","Accelerator Fund,Impact Fund,Venture Studio",$20MM,"PreSeed,Seed,Series A,Growth",$250k,NY,"Asia,Europe,North America",First POC-female led fund that is operations and accelerator firm advancing DEI at core of each investment.,https://kinetik.vc,https://www.linkedin.com/company/kinetik-ventures,United States
Kirchner Group,"New York,Mexico City","AgTech,Food,Social Impact,Technology,Consumer","Foundation,Impact Fund,Evergreen Fund",,"Seed,Series A",$50K,NY,,,https://www.kirchnergroup.com,https://www.linkedin.com/company/kirchner-group,United States
Kitchen Fund,New York,"AgTech,Consumer,Food,Retail","Growth Equity,Institutional Venture Capital (VC)",$100MM,Growth,$50-20MM,NY,Globally,,https://kitchenfund.com,https://www.linkedin.com/company/kitchen-fund,United States
KKR,"New York,San Francisco Bay Area",All Sectors,Growth Equity,"$2.2BN, $2.7BN","Growth,Series B,Series A","$75MM, $50-150MM, $50MM","NY,CA","North America,Europe,United States",,https://www.kkr.com/companies/kkr-growth,https://www.linkedin.com/company/kkr,United States
Kupanda Capital,"Washington DC,New York","All Sectors,Data,AI/ML,Media,Sustainability,Energy","Institutional Venture Capital (VC),Venture Studio",,"Series A,Seed,Series B,Growth,PreSeed",-,"DC,NY",Africa,,https://www.kupandacapital.com,https://www.linkedin.com/company/kupanda-capital,United States
L Catterton Growth,New York,"Commerce,Consumer,Entertainment,Apparel,Content,Digital Media,Health,Beauty,Wellness,Retail,Sustainability,Care Economy,Creator Economy,Family Tech,Fashion,Female Founders,Femtech,Fitness,Food,Future of Work,Influencer Network,Lifestyle,Marketplaces,Mental Health","Institutional Venture Capital (VC),Growth Equity","$600MM, $32BN, $50MM-$75MM","Series A,Series B,Growth,Seed","$200k - $50MM, $10MM-$75MM but we also have seed fund, $2MM-$10MM, $25MM-$125MM",NY,"Globally,North America",Focusing on a small sleeve of early-stage investments within L Catterton's Growth Fund,https://www.lcatterton.com,https://www.linkedin.com/company/l-catterton,United States
L'ATTITUDE Ventures,"Los Angeles,New York",All Sectors,"Institutional Venture Capital (VC),Impact Fund",$100MM,"PreSeed,Seed,Series A","$1MM, $1.5MM","CA,NY",United States,,https://www.latitudeventures.com,https://www.linkedin.com/company/lattitude-ventures,United States
Laconia Capital Group,"New York,Zurich","Enterprise,SaaS,Healthcare,AI/ML,Fintech,Commerce,Care Economy,Construction Tech,Data,Future of Work,PropTech,Silver Tech,Software,All Sectors",Institutional Venture Capital (VC),,"Seed,Series A,PreSeed",$250K - $1MM,NY,"United States,Europe,North America",,https://laconia.vc,https://www.linkedin.com/company/laconia-capital-group,"United States, Switzerland, United States"
Latitud,New York,All Sectors,"Accelerator Fund,Fundraising Platform","$5M,  with a goal of hitting $10M by the end of the year.","PreSeed,Seed",$200k,NY,LatAm,,https://www.latitud.com,https://www.linkedin.com/company/latitud,United States
LAUNCH,"New York,Austin","Technology,SaaS,Fintech,AI/ML,Marketplaces,Consumer","Angel Syndicate,Accelerator Fund,Institutional Venture Capital (VC)",,"PreSeed,Growth,Seed,Series A","$250k, $25k to $5MM","NY,TX","North America,United States",I work for Jason Calacanis at LAUNCH. We invest in seed stage startups and produce the podcast This Week in Startups,https://launch.co,https://www.linkedin.com/company/launch,United States
LDV Capital,New York,"Adtech,AI/ML,AgTech,Aerospace,Biotech,Content,Diagnostics,Deep Tech,Design,Health,Construction Tech,SaaS,Software,Platforms,Mental Health,Video,Transportation,Materials,Enterprise",Institutional Venture Capital (VC),$31MM,"PreSeed,Seed",$500K - $1.2MM,NY,"Europe,North America,United States",,https://www.ldv.co,https://www.linkedin.com/company/ldv-capital,United States
Lead Edge Capital,"New York,Austin","Big Data,AI/ML,SaaS,Future of Work,HRTech,Health,Construction Tech,Communication,Technology",Growth Equity,"$1.95B, $5BN AUM",Growth,"$30M-$75M, $50MM-$200MM","NY,TX",Globally,Moved to run Value Creation for LEC after leaving the GTM team at Vista (VCG) - looking for women to connect with and learn from!,https://www.leadedge.com,https://www.linkedin.com/company/lead-edge-capital,United States
LEAD Sports and Health Tech Partners,New York,"Wellness,Healthcare,Mental Health,Esports,Femtech,Health",Institutional Venture Capital (VC),$155MM,"Seed,Series A,Growth",$500k-$1MM,NY,Globally,,https://www.leadsportspartners.com,https://www.linkedin.com/company/lead-sports-health-tech-partners,United States
Leeds Illuminate,"Chapel Hill,New York","Education,Workforce,Future of Work","Impact Fund,Institutional Venture Capital (VC),Growth Equity",$500MM,Growth,"$25MM, $15-35MM","NC,NY","North America,Globally",www.leedsilluminate.com,https://www.leedsilluminate.com,https://www.linkedin.com/company/leeds-illuminate,United States
LeFonds by FrenchFounders,New York,All Sectors,Institutional Venture Capital (VC),Rolling fund target $20MM,"PreSeed,Seed,Series A",$100k,NY,"Globally,North America,Europe","French Founders and its Investors Club is a reliable,  legit business network with highly qualified and motivated Members. We go one step further,  creating LeFonds by FrenchFounders to put this energy into action and deploy the ambition. We bring the community “Network Effect” to our investments value chain. are a first stage venture partner,  driven on bringing our community network effect power to support global ambition.",https://www.frenchfounders.com/lefonds,https://www.linkedin.com/company/lefonds-by-frenchfounders,United States
LeFrak,New York,"SaaS,PropTech,Fintech,Health Care Services",Family Office,$100MM,PreSeed,$100k,NY,North America,,https://www.lefrak.com,https://www.linkedin.com/company/lefrak,United States
Left Lane Capital,New York,All Sectors,"Institutional Venture Capital (VC),Growth Equity,Government Fund","$630MM, $2BN, $1.4BN, $2.6BN","Series A,Series B,Growth,Seed","$5-$50MM, $5-60MM, $5-65MM, $20MM, $20-30MM, $10MM-$30MM",NY,"Europe,North America,United States,Middle East,LatAm,Globally","Previous operator leading growth at consumer and fintech companies,  now in venture scaling and accelerating companies across sectors",https://www.leftlanecap.com,https://www.linkedin.com/company/left-lane-capital,United States
Legacy Venture Capital,New York,Life Sciences,Institutional Venture Capital (VC),$50MM,"PreSeed,Seed,Series A",$2MM,NY,United States,,https://www.legacyvc.com,https://www.linkedin.com/company/legacy-venture,United States
Lerer Hippeau,New York,"Technology,All Sectors,Fintech,Health,AI/ML,Entertainment,Aerospace,Apparel,Beauty,Biopharma",Institutional Venture Capital (VC),"$113MM, $120MM, $1.2BN, $150MM","Seed,Series A,Series B,PreSeed","$500-$1MM, $1M-$1.5M seed check, $1-2MM, $1MM, $2MM",NY,United States,,https://www.lererhippeau.com,https://www.linkedin.com/company/lerer-hippeau,United States
Level Equity,New York,Software,Growth Equity,~$1.1BN,Growth,$15MM - $45MM,NY,"Europe,North America,United States,Oceania",,https://www.levelequity.com,https://www.linkedin.com/company/level-equity,United States
Level Up Ventures,New York,"All Sectors,Diversity",Corporate Venture Capital (CVC),We expect to make between 8-12 investments per year,"PreSeed,Seed",$300K,NY,United States,,https://levelup.ventures,https://www.linkedin.com/company/level-up-ventures,United States
Liftt Spa,"New York,Milan","3D Printing,Aerospace,Big Data,Biopharma,Biotech,AR/VR,Technology,AgTech,Clean Tech,Deep Tech,Diagnostics,Energy,Life Sciences,Manufacturing,Health Care Services,Materials,Robotics,Silver Tech",Evergreen Fund,$160MM,"PreSeed,Series A,Seed,Series B",$1MM-$3MM,NY,"Europe,North America,Other (please specify)",,https://www.liftt.com,https://www.linkedin.com/company/liftt,United States
Lightbank,"Chicago,New York","AI/ML,Commerce,Consumer,Fintech,Healthcare,HRTech,Industrial,PropTech,Platforms,SaaS,Marketplaces,Workforce,Technology",Institutional Venture Capital (VC),$290M,"PreSeed,Series A,Seed","$0.5-5MM, $500-5MM","IL,NY",Globally,,https://www.lightbank.com,https://www.linkedin.com/company/lightbank,United States
Liminal Ventures,New York,"Consumer,Content,Health,Food,Wellness",Institutional Venture Capital (VC),,"Seed,Series A",,NY,,,https://liminal.ventures,https://www.linkedin.com/company/liminal-ventures,United States
LionTree Partners,New York,"Consumer,Media",Institutional Venture Capital (VC),,Growth,Varies,NY,,,https://liontree.com,https://www.linkedin.com/company/liontree,United States
LiveRamp Ventures,New York,"Adtech,AI/ML,Big Data,Cloud,Infrastructure,Martech,Web3,Data",Corporate Venture Capital (CVC),$30MM,"Series A,Seed",$500k,NY,"Europe,North America,United States,Oceania",,https://liveramp.com/about/investors,https://www.linkedin.com/company/liveramp,United States
Lockheed Martin Ventures,"Washington DC,New York","3D Printing,Aerospace,AI/ML,AR/VR,Analytics,Big Data,Biotech,Clean Tech,Communication,Cyber,Data,Deep Tech,DevOps,Drones,Government,IoT,Life Sciences,Manufacturing,Materials,Robotics,Security,Software,Supply Chain,Sustainability,Technology,Energy,Hardware","Corporate Venture Capital (CVC),Evergreen Fund","$400M, $400MM","PreSeed,Seed,Series A,Series B","$3M, $2MM - $5MM","DC,NY",Globally,,https://www.lockheedmartin.com/en-us/products/venture-capital.html,https://www.linkedin.com/company/lockheed-martin,United States
Loeb.nyc,New York,"Consumer,Silver Tech,Marketplaces,Healthcare,Food","Venture Studio,Family Office",,"PreSeed,Seed","$100k - $5M, $250-1MM",NY,"North America,United States",,https://www.loeb.nyc,https://www.linkedin.com/company/loeb-nyc,United States
Long Ridge Equity Partners,New York,"Fintech,Enterprise,Technology,Insurtech,Software","Institutional Venture Capital (VC),Growth Equity","$445MM, $450MM, $730MM",Growth,"$40MM, $50MM",NY,"United States,Europe,North America,Globally",,https://longridgecap.com,https://www.linkedin.com/company/long-ridge-equity-partners,United States
Lowercarbon Capital,New York,"AgTech,AI/ML,Biotech,Clean Tech,Construction Tech,Deep Tech,UrbanTech,Transportation,Technology,Sustainability,Supply Chain,Social Impact,Manufacturing,Energy",Impact Fund,$800MM,"PreSeed,Seed,Series A,Series B,Growth",$1-5MM,NY,Globally,,https://www.lowercarboncapital.com,https://www.linkedin.com/company/lowercarbon-capital,United States
LRVHealth,"Boston,New York","Healthcare,Health Care Services",Institutional Venture Capital (VC),"$200M, $250MM","Series A,Series B,Seed","$5M, $5MM - $10MM","MA,NY",United States,,https://www.lrvhealth.com,https://www.linkedin.com/company/lrvhealth,United States
Lumos Capital Group,"San Francisco Bay Area,New York","Education,Workforce,Future of Work,HRTech,L&D,SaaS,Social Impact,Software,Technology","Growth Equity,Impact Fund",$200MM,"Series B,Growth","$10-15MM, $10MM - $15MM, $10MM-$20MM","CA,NY","United States,Europe,Asia,North America,Globally",,https://lumoscapitalgroup.com,https://www.linkedin.com/company/lumos-capital-group,United States
m]x[v Capital,New York,"Supply Chain,SaaS,Retail,Martech,Manufacturing,Logistics,Infrastructure,DevOps,Cyber,Aerospace",Institutional Venture Capital (VC),$52MM,"PreSeed,Seed",$1.2MM,NY,North America,,https://www.mxv.vc,https://www.linkedin.com/company/mxv-capital,United States
M13,"Los Angeles,New York","Consumer,Apparel,Cannabis,Commerce,Digital Media,Entertainment,Education,Female Founders,Wellness,Retail,Media,Marketplaces,Future of Work,Gaming,Health,Femtech,Fitness,Food,All Sectors","Institutional Venture Capital (VC),Venture Studio","$200MM, $188MM, I'm not sure","Seed,Series A,Series B","$500-$5MM, $50k-$5MM, $1MM, $5-7MM","CA,NY","Globally,United States",,https://www.m13.co,https://www.linkedin.com/company/m13,United States
Manhattan Venture Partners,"New York,San Francisco Bay Area,Nashville","Technology,All Sectors,AI/ML,Analytics,Blockchain,Cloud,Community,Consumer,Fintech,SaaS","Growth Equity,Evergreen Fund,Institutional Venture Capital (VC)","$1BN, $200MM, Over $1BN AUM",Growth,"MM$100k, $3-7MM, $5MM","NY,CA,TN","Globally,Europe,LatAm,United States",,https://mvp.vc,https://www.linkedin.com/company/manhattan-venture-partners,United States
Maniv,New York,"Clean Tech,Aerospace,Deep Tech,Energy,Hardware,Industrial,Manufacturing,Materials,Mobility,Supply Chain,Software,Transportation",Institutional Venture Capital (VC),$140MM,"PreSeed,Seed,Series A",$1.5MM-$5MM,NY,Globally,,https://www.maniv.com,https://www.linkedin.com/company/maniv-mobility,United States
MarketX Ventures,New York,"Fintech,SaaS",Growth Equity,,Growth,$10MM,NY,,,https://marketxventures.com,https://www.linkedin.com/company/marketx-ventures,United States
Maschmeyer Group Ventures (MGV),New York,"SaaS,Health,Fintech,DevOps,AI/ML,Insurtech,Platforms,Marketplaces","Family Office,Evergreen Fund",,"PreSeed,Seed",$250k,NY,"North America,LatAm,Middle East",,https://mgv.vc,https://www.linkedin.com/company/maschmeyer-group-ventures,United States
Mastercard,New York,"Fintech,Crypto,Blockchain,Commerce,Cyber,Diversity,Networks,Social Impact","Corporate Venture Capital (CVC),Other",$25MM,"Seed,Series A",$1MM,NY,Globally,,https://www.mastercard.com/news/perspectives/venture-capital/,https://www.linkedin.com/company/mastercard,United States
Material Impact,"Boston,New York","AgTech,Biotech,Clean Tech,Deep Tech,Materials",Institutional Venture Capital (VC),$350MM,"Seed,Series A,PreSeed","$10MM, $3MM","MA,NY",Globally,,https://www.materialimpact.com,https://www.linkedin.com/company/material-impact,United States
MBA Ventures,New York,All Sectors,Institutional Venture Capital (VC),$2MM,Seed,$150K,NY,Globally,,https://www.mbaventures.com,https://www.linkedin.com/company/mba-ventures,United States
ME Ventures,New York,"Music,Creator Economy,Blockchain,SaaS,Diversity,Fintech,Technology,Web3",Institutional Venture Capital (VC),$30MM,"Seed,PreSeed,Series A",$300K,NY,North America,ME Ventures is an early stage VC fund for the intersection of tech and music. We are reinventing the music industry and investing in companies the provide end to end solutions for the creator economy.,https://me.vc,https://www.linkedin.com/company/me-ventures,United States
Menlo Ventures,"San Francisco Bay Area,New York","AI/ML,Analytics,Cloud,Data,Data Services,Workforce,Technology,Enterprise,Infrastructure,Future of Work,Design,DevOps,SaaS,Software,Communication,L&D,Martech,Platforms,Video,Consumer,Healthcare,All Sectors","Institutional Venture Capital (VC),Venture Studio",$1BN,"PreSeed,Seed,Series A,Series B","$7MM, $3.5MM","CA,NY","North America,Europe,Middle East",,https://www.menlovc.com,https://www.linkedin.com/company/menlo-ventures,United States
Mercato Partners,"Salt Lake City,New York","Adtech,Apparel,Big Data,Cloud,Commerce,Consumer,Crypto,DevOps,Digital Media,Fintech,Healthcare,Enterprise,SaaS,Food,Female Founders,Insurtech,Medtech,Security,Technology,Software,AI/ML,Cyber,All Sectors",Growth Equity,"$300MM, $400M, $400MM","Growth,Series A,Series B","$15MM, $20M, $20MM","UT,NY",United States,,https://mercatopartners.com,https://www.linkedin.com/company/mercato-partners,United States
Mercer Ventures,New York,All Sectors,Institutional Venture Capital (VC),"Target size is $25M,  we are in the beginning of fundraising","PreSeed,Seed,Series A",~$500k first check,NY,"LatAm,North America",,https://www.mercerventures.com,https://www.linkedin.com/company/mercer,United States
Meridian Street Capital,New York,Healthcare,Institutional Venture Capital (VC),$50MM,Seed,$1MM,NY,North America,,https://www.meridianstreetcapital.com,https://www.linkedin.com/company/meridian-street-capital,United States
Meta,New York,Consumer,Corporate Venture Capital (CVC),,Growth,$250K,NY,,,https://about.meta.com,https://www.linkedin.com/company/meta,United States
MGG Investment Group LP,New York,All Sectors,"Evergreen Fund,Growth Equity,Institutional Venture Capital (VC),Corporate Venture Capital (CVC),Venture Debt",$5.5BN,Growth,$5MM-$100MM,NY,"North America,Europe",,https://www.mgginv.com,https://www.linkedin.com/company/mgg-investment-group-lp,United States
MicDrop Capital,"New York,Singapore","Consumer,Digital Media,Enterprise,Fintech,Future of Work,HRTech,Health Care Services,Marketplaces,PropTech,SaaS,Technology,Travel,Female Founders",Institutional Venture Capital (VC),,"Series A,Series B",,,Other (please specify),,https://www.micdrop.vc,https://www.linkedin.com/company/micdrop-say-what-matters,"United States, Singapore"
Mirae Asset Venture Capital (US),New York,"AI/ML,Clean Tech,All Sectors","Growth Equity,Institutional Venture Capital (VC)",,"Series B,Growth,Series A","$15MM, $5MM-$100MM",NY,Globally,,https://miraeassetvc.com/en,https://www.linkedin.com/company/mirae-asset-securities-investments-usa,United States
Mobility Impact Partners,"New York,San Francisco Bay Area",Mobility,"Venture Studio,Growth Equity",$50MM,"PreSeed,Growth","$2MM-$10MM, $1MM-$40MM","NY,CA","Europe,North America,Globally",,https://mobilityimpactpartners.com,https://www.linkedin.com/company/mobilityimpact,United States
Moderne Ventures,"Chicago,New York","PropTech,Fintech,Insurtech,AI/ML,3D Printing,Technology,Clean Tech,Construction Tech,Future of Work,Blockchain,Design,UrbanTech,Energy,Sustainability,Workforce,Deep Tech,Data Services,SaaS,Robotics","Institutional Venture Capital (VC),Accelerator Fund,Growth Equity","$43MM, $200MM, $250MM","Seed,Series A,Series B,Growth","$250-500k, $500-$1MM, $1-$3MM, $2MM, $4-7MM, $3-5MM, $4MM-$50MM","IL,NY","North America,United States","We can,  but doesnt matter, Just started a new job with Moderne!",https://www.moderneventures.com,https://www.linkedin.com/company/moderne-ventures,United States
Mondelez SnackFutures Ventures,New York,"Consumer,Food",Corporate Venture Capital (CVC),,"Series A,Series B",$4MM,NY,"Europe,North America,Asia",,https://www.snackfutures.com,https://www.linkedin.com/company/mondelezinternational,United States
Montauk Climate Corp,New York,"Energy,AgTech,Clean Tech","Venture Studio,Institutional Venture Capital (VC)",,"Seed,Series A,Series B",$250k-$1.5MM,NY,United States,,https://montaukrenewables.com,https://www.linkedin.com/company/montauk-climate,United States
Morgan Stanley,New York,"All Sectors,Analytics,AI/ML,Big Data,Blockchain,Data Services,DevOps,Enterprise,Fintech,Risk Management,Software","Impact Fund,Corporate Venture Capital (CVC)",,"Seed,Series A,Series B,Growth","$1MM, $5MM",NY,,,https://www.morganstanley.com,https://www.linkedin.com/company/morgan-stanley,United States
Morgan Stanley Multicultural Innovation Lab,New York,All Sectors,"Accelerator Fund,Corporate Venture Capital (CVC)",N/A,"PreSeed,Seed,Series A",$250K,NY,"Globally,North America",,https://www.morganstanley.com/about-us/multicultural-innovation-lab,https://www.linkedin.com/company/morgan-stanley,United States
Motley Fool Ventures,"Washington DC,Alexandria,New York",All Sectors,"Corporate Venture Capital (CVC),Institutional Venture Capital (VC)","$150MM, $250MM","Series A,Seed,Series B","$500k-$2MM, $1.5MM, $1M - $4, 999, 999MM, $2MM, $1MM","DC,VA,NY","Globally,United States,Africa,Europe,LatAm,North America,Asia,Oceania,Middle East",,https://www.foolventures.com,https://www.linkedin.com/company/foolventures,United States
Mountain Crest Investment Partners,"New York,Denver",All Sectors,Institutional Venture Capital (VC),,"PreSeed,Seed","$400k-$2.5MM, $400k - $2.5MM",NY,"United States,North America",,https://www.mountaincrestcapital.com,https://www.linkedin.com/company/mountain-crest-investment-partners,United States
MoVi Partners,New York,Fintech,"Accelerator Fund,Venture Studio,Institutional Venture Capital (VC)",,"PreSeed,Seed",N/A,NY,,,https://www.movipartners.com,https://www.linkedin.com/company/movi-partners,United States
MSG Entertainment,New York,"Mobile Media,Wellness,Analytics,Apparel,Consumer,Entertainment,Esports,Fitness,Food,Gaming,Health,Lifestyle,Media,Security","Corporate Venture Capital (CVC),Growth Equity",,"Growth,PreSeed,Seed,Series A",$1M-$3M,NY,,,https://www.msgentertainment.com,https://www.linkedin.com/company/msgentertainment,United States
Multitudes,New York,"All Sectors,Consumer,Enterprise,Frontier Tech,Crypto",Institutional Venture Capital (VC),,"Seed,Series A","$500-$1MM, $1-$3MM",NY,,,https://www.multitudes.vc,https://www.linkedin.com/company/multitudes,United States
Mundi Ventures,"Madrid,New York","Biotech,Clean Tech,Deep Tech,Fashion,Logistics,Retail,Supply Chain,Transportation,Sustainability","Institutional Venture Capital (VC),Growth Equity","€500m, and currently raising €1bn Fund","Series B,Series A,Growth",€5 - 10m,NY,"Europe,North America",,https://www.mundiventures.com,https://www.linkedin.com/company/mundi-ventures,"Spain, United States"
Musa Capital,New York,All Sectors,Institutional Venture Capital (VC),$12MM,"PreSeed,Seed",$150k,NY,"North America,United States",,https://www.musacapital.com,https://www.linkedin.com/company/musa-capital,United States
Musa Ventures,"Cape Town,Sydney,New York",All Sectors,Fundraising Platform,$30MM AUD,"PreSeed,Seed,Series A",$500k+,NY,Africa,,https://www.musaventures.com,https://www.linkedin.com/company/musa-ventures,"Australia, United States"
MUUS Climate Partners,New York,"AgTech,Clean Tech,Energy,Construction Tech,Sustainability,Transportation,Industrial,Manufacturing,Mobility",Impact Fund,$50M,"Seed,Series A,PreSeed",$750K,NY,"Europe,North America","MUUS Climate Partners is an NYC-based climate tech VC,  typically investing at the Seed - Series A stage. We invest at the intersection of tech and decarbonization across all climate tech sectors (energy,  transport,  ag,  industry,  buildings,  carbon removal). Past investments include breakthrough wave energy tech,  autonomous EV tractors,  electricity-free drip irrigation,  electrification of the metals and mining,  and fintech companies enabling home energy retrofits.",https://www.muusclimate.com,https://www.linkedin.com/company/muus-climate-partners,United States
Nationwide Ventures,"Columbus,New York","Data,HRTech,Insurtech,Fintech,Mobility,Risk Management,Future of Work,All Sectors,Care Economy,AI/ML,AgTech,Analytics,Big Data,Clean Tech,Cyber,Enterprise,DevOps,Female Founders,Healthcare,IoT,PropTech",Corporate Venture Capital (CVC),"$100MM, $175MM","Series A,Series B,Seed,Growth","$3MM, $1MM - $3MM, $1MM - $2MM, $4.5MM","OH,NY","North America,Europe,United States,Globally",,https://www.nationwideventures.com,https://www.linkedin.com/company/nationwide-ventures,United States
NEA,"San Francisco Bay Area,New York","Enterprise,Consumer,Health Care Services,Healthcare,AI/ML,Analytics,Big Data,Wellness,Biotech",Institutional Venture Capital (VC),"$3B, $3.3BN, $3BN, $3.6BN, $3.6BN+","Seed,Series A,Series B,Growth","$250-500k,
 $500-$1MM,
 $1-$3MM,
 $3-9MM,
 $10MM+, $1MM-$3MM,
 $3MM-9MM,
 $10MM+, $1-$3MM,
 $3-9MM,
 $10MM+, $15MM, $10MM","CA,NY","United States,Globally,Asia,Europe",,https://www.nea.com,https://www.linkedin.com/company/nea,United States
Neolution Crypto,New York,"Crypto,Blockchain","Institutional Venture Capital (VC),Other",,"PreSeed,Seed,Series A",Depends,NY,,,https://neolution.vc,https://www.linkedin.com/company/neolution-crypto,United States
Neon,New York,"Enterprise,Healthcare,Biotech,Consumer",Institutional Venture Capital (VC),$200M,"PreSeed,Seed,Series A,Series B,Growth",$1-5M,NY,,,https://www.neon.vc,https://www.linkedin.com/company/neon,United States
Neotribe Ventures,New York,All Sectors,"Institutional Venture Capital (VC),Growth Equity",$90MM,"Growth,Seed,Series A",$5MM,NY,"North America,Europe",,https://www.neotribe.vc,https://www.linkedin.com/company/neotribe-ventures,United States
Neruda Ventures,New York,"PropTech,Fintech",Institutional Venture Capital (VC),,Seed,,NY,"LatAm,North America",,https://nerudaventures.com,https://www.linkedin.com/company/neruda-ventures,United States
New Enterprise Associates,New York,"Enterprise,All Sectors,Consumer,AI/ML",Institutional Venture Capital (VC),$6.2BN (across early stage & growth funds),"Series A,Series B,Seed",$20MM,NY,"North America,Europe","Prior to NEA,  Aya was at J.P. Morgan's M&A team where she worked on transactions across various industries. She graduated with Honors from the University of Chicago.",https://www.nea.com,https://www.linkedin.com/company/new-enterprise-associates,United States
New Incubation Ventures,New York,Consumer,Corporate Venture Capital (CVC),N/A,"PreSeed,Seed,Series A,Series B,Secondary,Growth",$3MM,NY,Globally,,https://www.elcompanies.com/en/news-and-media/newsroom/company-features/estee-lauder-new-incubation-ventures,https://www.linkedin.com/company/new-incubation-ventures,United States
New Market Partners,"Sarasota,New York","Big Data,Cyber,Female Founders,Enterprise,SaaS,Risk Management,Analytics,Blockchain,DevOps,Security,Diversity,Education,Workforce,Future of Work","Family Office,Institutional Venture Capital (VC)",$50MM,"Seed,Series A,PreSeed,Series B","Less than $200k, $200k-$500k, $500k+, $3-5MM","FL,NY","North America,Europe,Asia",We invest in B2B software companies and require at least one female founder on the team. All founders must be actively involved in daily operations of the company to be considered for funding.,https://www.newmarketpartners.com,https://www.linkedin.com/company/new-market-partners,United States
New Voices Fund,New York,"Consumer,Digital Media,Retail,Female Founders,Commerce","Institutional Venture Capital (VC),Family Office,Growth Equity",$100MM,"Seed,Series A,Series B,Growth",$5-10MM,NY,,"Investing in women of color, We invest in entrepreneurs of color and companies that serve a need in communities of color",https://newvoicesfund.com,https://www.linkedin.com/company/new-voices-fund,United States
New York City Economic Development Corporation,New York,"Life Sciences,Biotech,Sustainability",Government Fund,$5MM,"Series A,Seed",$700K,NY,United States,,https://edc.nyc,https://www.linkedin.com/company/new-york-city-economic-development-corporation,United States
New York Life Ventures,New York,All Sectors,Corporate Venture Capital (CVC),$1BN,"Seed,Series A,Series B,Growth",$3MM,NY,,,https://www.nylv.com,https://www.linkedin.com/company/new-york-life-ventures,United States
