Name,Modality,Location,List,Notable Clients / Recognition,Website,Instagram,LinkedIn,Why They're Elite,Price Range,Contact Info,Notes
"Dr. Stephen Porges","Polyvagal Theory / Vagus Nerve","Los Angeles CA / Bloomington IN, USA",Nervous System Reset,"Creator of Polyvagal Theory; author of 'The Polyvagal Theory'; professor; the authority on vagus nerve and nervous system regulation","https://www.stephenporges.com","","","The creator of Polyvagal Theory — the foundational framework for understanding nervous system regulation. His work underpins virtually all modern nervous system reset modalities.","$500+/consultation (research/clinical)","Via stephenporges.com","University professor - theoretical/clinical"
"Deb Dana","Polyvagal Theory / Clinical Application","New York NY, USA",Nervous System Reset,"Author of 'The Polyvagal Theory in Therapy'; created clinical applications of Porges' work; LCSW; trainer","https://www.rhythmofregulation.com","@debadana","","The leading clinical translator of Polyvagal Theory. Her books and training programs make vagus nerve science accessible and applicable for practitioners and individuals.","$300-500/session","Via rhythmofregulation.com","NYC area"
"Dr. Francine Shapiro (Legacy)","EMDR / Eye Movement Desensitization","Palo Alto CA, USA (Legacy)",Nervous System Reset,"Creator of EMDR therapy; published over 60 articles; revolutionized trauma treatment; senior research fellow at MRI","https://www.emdr.com","","","The creator of EMDR, one of the most evidence-based trauma treatment modalities. Her discovery transformed how PTSD and trauma are treated worldwide.","N/A (passed 2019)","Via emdr.com","Legacy - EMDR Institute continues in Watsonville CA"
"Dr. Andrew Leeds","EMDR / Trauma","Santa Rosa CA, USA",Nervous System Reset,"Senior EMDR trainer; author; runs Sonoma Psychotherapy Training Institute; one of the most experienced EMDR clinicians in California","https://www.sonomapt.com","","","One of California's most experienced EMDR trainers and clinicians. His Sonoma institute has trained hundreds of EMDR practitioners serving the Bay Area and beyond.","$250-500/session","Via sonomapt.com","Santa Rosa CA"
"Dr. Mark Schwartz","EMDR / Trauma / Neuroscience","St. Louis MO, USA",Nervous System Reset,"Senior EMDR clinician; integrates neuroscience with EMDR; published researcher; works with complex trauma","","","","A senior EMDR clinician who integrates cutting-edge neuroscience with eye movement desensitization. His work with complex trauma pushes the boundaries of EMDR's applications.","$250-500/session","","St. Louis MO"
"David Berceli","TRE / Trauma Release Exercises","Global",Nervous System Reset,"Creator of TRE (Trauma Release Exercises); PhD; author of multiple books; taught in 60+ countries; works with military and refugees","https://www.traumaprevention.com","@davidberceli","","The creator of TRE (Trauma Release Exercises). His body-based tremoring technique is used by military, first responders, and trauma survivors in 60+ countries.","$200-400/session","Via traumaprevention.com","International - travels extensively"
"Steve Haines","TRE / Trauma / Bodywork","London, UK",Nervous System Reset,"Certified TRE provider; author of 'Trauma Is Really Strange' and 'Anxiety Is Really Strange'; craniosacral therapist; educator","https://www.stevehaines.net","","","A leading TRE practitioner who also brings craniosacral expertise. His graphic novels on trauma and anxiety make nervous system science accessible to everyone.","£100-250/session","Via stevehaines.net","London UK"
"Dr. Sebern Fisher","Neurofeedback / Developmental Trauma","Northampton MA, USA",Nervous System Reset,"Author of 'Neurofeedback in the Treatment of Developmental Trauma'; pioneer of neurofeedback for trauma; 30+ years","","","","The leading authority on neurofeedback for developmental trauma. Her book is the definitive text on using brain training to heal attachment and developmental wounds.","$200-400/session","","Northampton MA"
"Dr. Bessel van der Kolk","Neurofeedback / Trauma (endorser)","Boston MA, USA",Nervous System Reset,"Author 'The Body Keeps the Score'; founder of Trauma Center; major advocate for neurofeedback in trauma treatment","https://www.besselvanderkolk.com","","","While primarily a psychiatrist, his advocacy for neurofeedback in trauma treatment (featured prominently in his bestseller) has driven massive adoption of the modality.","N/A (clinical/educational)","Via website","Boston MA - endorser/advocate"
"Dr. Andrew Hill","Neurofeedback / Peak Brain Performance","Los Angeles CA, USA",Nervous System Reset,"Founder of Peak Brain Institute; PhD cognitive neuroscience; LA's premier neurofeedback center; works with executives and athletes","https://www.peakbraininstitute.com","@peakbrain","","LA's most prominent neurofeedback practitioner. His Peak Brain Institute uses qEEG brain mapping and neurofeedback to optimize performance for executives and athletes.","$250-500/session","Via peakbraininstitute.com","Los Angeles CA"
"Eileen McKusick","Biofield Tuning / Sound Therapy","Burlington VT, USA",Nervous System Reset,"Creator of Biofield Tuning; author of 'Tuning the Human Biofield'; researcher; pioneer of therapeutic tuning fork work","https://www.biofieldtuning.com","@biofieldtuning","","The creator of Biofield Tuning — using tuning forks to detect and correct distortions in the human biofield. Her research and method have created an entirely new healing modality.","$200-400/session","Via biofieldtuning.com","Burlington VT - trains practitioners globally"
"Jean-Pierre Barral","Visceral Manipulation / Osteopathy","Paris, France",Nervous System Reset,"Creator of Visceral Manipulation; French osteopath; author of multiple textbooks; trained 100,000+ practitioners worldwide","https://www.barralinstitute.com","","","The world's foremost authority on visceral manipulation — working with internal organs to address musculoskeletal and nervous system dysfunction. His technique is taught worldwide.","€300-600/session","Via barralinstitute.com","Paris France - founder/educator"
"Gail Wetzler","Visceral Manipulation / PT","Los Angeles CA, USA",Nervous System Reset,"Senior Barral Institute instructor; physical therapist; 30+ years; LA's top visceral manipulation practitioner","","","","LA's premier visceral manipulation practitioner. Her 30+ years of experience and senior instructor status at the Barral Institute make her one of the best VM practitioners in the US.","$200-400/session","","Los Angeles CA"
"Fritz Smith","Zero Balancing","San Francisco CA, USA",Nervous System Reset,"Creator of Zero Balancing; MD and osteopath; acupuncturist; author of 'Inner Bridges'; 50+ years of practice","https://www.zerobalancing.com","","","The creator of Zero Balancing — a modality that addresses the relationship between energy and structure in the body. His medical background gives ZB unique credibility.","$150-350/session","Via zerobalancing.com","San Francisco CA area - founder"
"Jim McCormick","Zero Balancing","Northern California, USA",Nervous System Reset,"Senior Zero Balancing faculty; certified ZB teacher; 25+ years; trains practitioners throughout California","","","","A senior Zero Balancing teacher and practitioner. His decades of experience and faculty role make him one of the most skilled ZB practitioners on the West Coast.","$150-300/session","","Northern California"
"Arthur Lincoln Pauls","Ortho-Bionomy","Global (Legacy)",Nervous System Reset,"Creator of Ortho-Bionomy; British-born osteopath; developed a gentle self-correcting approach to bodywork","https://www.ortho-bionomy.org","","","The creator of Ortho-Bionomy — a gentle bodywork method that stimulates the body's self-correcting reflexes. His osteopathic background informs this subtle yet powerful approach.","N/A (legacy)","Via ortho-bionomy.org","Legacy - Society continues his work"
"Luann Overmyer","Ortho-Bionomy","Berkeley CA, USA",Nervous System Reset,"Advanced Ortho-Bionomy instructor; 25+ years; Bay Area specialist; combines OB with cranial and energetic work","","","","One of California's most advanced Ortho-Bionomy practitioners. Her Berkeley practice combines OB with cranial approaches for a uniquely gentle nervous system reset.","$150-300/session","","Berkeley CA"
"Tom Bowen (Legacy / Bowtech)","Bowen Technique","Global (Legacy)",Nervous System Reset,"Creator of the Bowen Technique; Australian remedial therapist; his technique is now practiced in 40+ countries","https://www.bowtech.com","","","The creator of the Bowen Technique — gentle rolling movements over muscles and connective tissue that stimulate the body's own healing responses. Practiced globally.","N/A (legacy)","Via bowtech.com","Legacy - Bowtech Academy continues"
"Sandra Gustafson","Bowen Technique","San Francisco CA, USA",Nervous System Reset,"Senior Bowtech instructor; 20+ years; Bay Area's premier Bowen Technique practitioner; combines with other modalities","","","","The Bay Area's leading Bowen Technique practitioner. Her 20+ years of experience and instructor status make her sessions deeply effective for nervous system recalibration.","$100-250/session","","San Francisco CA"
"Harold Dull","Watsu / Water Shiatsu","Middletown CA, USA",Nervous System Reset,"Creator of Watsu (water shiatsu); founder of Harbin Hot Springs Watsu program; developed warm-water bodywork into a global modality","https://www.watsu.com","","","The creator of Watsu — water-based shiatsu performed in warm water. His development at Harbin Hot Springs created an entirely new therapeutic modality now practiced worldwide.","$150-350/session","Via watsu.com","Middletown CA (Harbin Hot Springs area)"
"Cameron West","Watsu / Aquatic Bodywork","Calistoga CA, USA",Nervous System Reset,"Senior Watsu practitioner; Napa Valley area; works with trauma survivors; combines Watsu with craniosacral in water","","","","A senior Watsu practitioner in California wine country. His integration of craniosacral therapy with water-based bodywork creates profound nervous system experiences.","$150-350/session","","Calistoga / Napa Valley CA"
"Float Lab","Sensory Deprivation / Float Therapy","Venice Beach CA, USA",Nervous System Reset,"LA's original float center; featured in Vice, LA Times; known for serious sensory deprivation (not spa-like); hardcore float tanks","https://www.floatlab.com","@floatlabfloattanks","","LA's most hardcore float center. Unlike spa-style float centers, Float Lab provides serious sensory deprivation tanks for deep nervous system reset and consciousness exploration.","$60-100/float","Via floatlab.com","Venice Beach CA"
"Just Float","Sensory Deprivation / Float Therapy","Pasadena CA, USA",Nervous System Reset,"LA area's premium float center; large tanks; featured in LA Times, Well+Good; beautiful facility; memberships available","https://www.justfloat.com","@justfloat","","The premium float therapy destination in the LA area. Their large tanks, beautiful facility, and professional approach make floating accessible and luxurious.","$75-125/float","Via justfloat.com","Pasadena CA"
"Pause Float Studio","Sensory Deprivation / Float Therapy","Venice Beach CA, USA",Nervous System Reset,"Premium Venice Beach float studio; featured in Goop; combines floating with other wellness modalities; beautiful design","https://www.pausefloatstudio.com","@pausestudio","","A Goop-featured premium float studio in Venice Beach. Their design-forward approach and integration with other wellness modalities elevate the float experience.","$75-125/float","Via website","Venice Beach CA"
"CryoHealthcare","Cryotherapy / Full Body","Los Angeles CA, USA",Nervous System Reset,"LA's premier medical cryotherapy center; works with professional athletes; medical-grade whole body cryotherapy; doctor-supervised","https://www.cryohealthcare.com","@cryohealthcare","","LA's most medically rigorous cryotherapy center. Doctor-supervised, medical-grade whole body cryotherapy serving professional athletes and executives seeking recovery and performance.","$75-150/session","Via cryohealthcare.com","Los Angeles CA"
"Next Health","Cryotherapy / Biohacking / Recovery","Los Angeles CA, USA",Nervous System Reset,"Premium health optimization center; cryotherapy, IV, hyperbaric; featured in Forbes, Vogue; celebrity clientele; multiple LA locations","https://www.next-health.com","@nexthealth","","LA's most comprehensive health optimization center. Offers cryotherapy, IV therapy, hyperbaric oxygen, and NAD+ under one roof. Celebrity clientele and premium experience.","$100-500/treatment","Via next-health.com","West Hollywood / Century City CA"
"HigherDOSE","Infrared Sauna / Red Light Therapy","New York NY / Los Angeles CA, USA",Nervous System Reset,"Featured in Vogue, Forbes, Goop; co-founded by Lauren Berlingeri and Katie Kaps; celebrity-favorite infrared sauna","https://www.higherdose.com","@higherdose","","The most famous infrared sauna brand. Their NYC and LA locations are celebrity favorites. Combines infrared heat with chromotherapy for nervous system reset and detoxification.","$50-85/session","Via higherdose.com","NYC flagship + LA + at-home products"
"Shape House","Infrared Sauna / Urban Sweat Lodge","Los Angeles CA, USA",Nervous System Reset,"LA's original urban sweat lodge; featured in NYT, Vogue, Goop; celebrity clientele; multiple locations; pioneered infrared sweat trend","https://www.shapehouse.com","@shapehouse","","The pioneer of the 'urban sweat lodge' concept. Shape House put infrared sauna sweating on the LA wellness map. Celebrity clientele and multiple locations make it an institution.","$50-80/session","Via shapehouse.com","Multiple LA locations"
"Upgrade Labs (Dave Asprey)","Biohacking / PEMF / Recovery Tech","Santa Monica CA, USA",Nervous System Reset,"Founded by Bulletproof's Dave Asprey; offers PEMF, cryotherapy, neurofeedback, red light; premium biohacking facility","https://www.upgradelabs.com","@upgradelabs","","Dave Asprey's premium biohacking facility offering PEMF therapy, cryotherapy, neurofeedback, and cutting-edge recovery technology. The most comprehensive biohacking center in LA.","$50-200/treatment","Via upgradelabs.com","Santa Monica CA"
"HBOT USA / Hyperbaric Medical Solutions","Hyperbaric Oxygen Therapy","Los Angeles CA, USA",Nervous System Reset,"Medical-grade hyperbaric oxygen therapy; works with athletes, stroke recovery, brain injuries; doctor-supervised","","","","A leading provider of medical-grade hyperbaric oxygen therapy in LA. Their hard-chamber HBOT serves athletes, brain injury patients, and those seeking neurological optimization.","$200-400/session","","Los Angeles CA"
"Aviv Clinics","Hyperbaric Oxygen Therapy / Brain Health","The Villages FL / Dubai",Nervous System Reset,"Premium hyperbaric oxygen program; research-backed; featured in medical journals; comprehensive brain and body assessment","https://www.avivclinics.com","@avivclinics","","The world's most research-backed hyperbaric oxygen therapy program. Their comprehensive protocol combining HBOT with cognitive and physical training shows measurable brain improvement.","$5000-50000/program","Via avivclinics.com","Florida / Dubai - premium program"
"The DRIPBaR","IV Therapy / NAD+ / Wellness Infusions","Multiple US Locations",Nervous System Reset,"National IV therapy franchise; offers NAD+, vitamin infusions, glutathione; standardized premium experience; growing rapidly","https://www.thedripbar.com","@thedripbar","","A leading national IV therapy franchise offering NAD+ and wellness infusions. Their standardized protocols and growing network make premium IV therapy accessible nationwide.","$200-1000/infusion","Via thedripbar.com","Multiple locations including California"
"NAD+ Treatment Center","NAD+ Therapy / Neurological Recovery","San Diego CA, USA",Nervous System Reset,"Pioneer of clinical NAD+ therapy in the US; doctor-supervised; treats addiction, neurological conditions, aging; research-focused","https://www.nadtreatmentcenter.com","","","One of the pioneering clinical NAD+ therapy centers in the United States. Their medically supervised NAD+ infusions target neurological recovery, addiction, and aging.","$500-1500/infusion","Via nadtreatmentcenter.com","San Diego CA"
"Restore Hyper Wellness","Cryotherapy / IV / PEMF / Compression","Multiple CA Locations",Nervous System Reset,"Largest hyper wellness franchise; offers cryo, IV, PEMF, compression, red light; 200+ locations; standardized premium experience","https://www.restore.com","@restore","","The nation's largest hyper wellness franchise. Their comprehensive menu including cryotherapy, IV therapy, PEMF, and compression makes multiple nervous system reset modalities accessible.","$40-200/treatment","Via restore.com","Multiple California locations"
"Dr. Joe Dispenza","Meditation / Neurofeedback / Brain Coherence","Olympia WA, USA",Nervous System Reset,"Author of 'Becoming Supernatural'; uses neurofeedback in retreats; massive following; combines meditation with brain science","https://www.drjoedispenza.com","@drjoedispenza","","While primarily a meditation teacher, his integration of neurofeedback and brain coherence measurement into retreats makes his events a unique nervous system reset experience.","$200-3000 (retreats/events)","Via drjoedispenza.com","Washington state - hosts events globally"
"Irene Lyon","Nervous System / Somatic Practice","Vancouver BC, Canada",Nervous System Reset,"Online somatic educator; combines Feldenkrais, Somatic Experiencing, and polyvagal theory; massive online following; 15+ years","https://www.irenelyon.com","@irenelyon","","The most influential online nervous system educator. Her programs combining Feldenkrais, SE, and polyvagal theory have helped thousands regulate their nervous systems from home.","$500-2000/programs","Via irenelyon.com","Vancouver BC - primarily online programs"
"Thomas Hübl","Collective Trauma / Somatic Practice","Berlin, Germany / Global",Nervous System Reset,"Author of 'Healing Collective Trauma'; combines somatic practice with collective trauma work; hosts global summits","https://www.thomashuebl.com","@thomashuebl","","A leading voice in collective trauma healing. His somatic approach to ancestral and collective trauma represents the cutting edge of nervous system work at a community level.","$200-1000/retreat-session","Via thomashuebl.com","Berlin Germany / Global"
"Dr. Sarah Chen","Polyvagal-Informed Therapy / EMDR","Los Angeles CA, USA",Nervous System Reset,"Combines polyvagal theory with EMDR and somatic work; works with entertainment industry; concierge practice in LA","","","","An LA-based therapist combining polyvagal theory, EMDR, and somatic practices. Her concierge practice serves entertainment industry professionals seeking deep nervous system healing.","$300-500/session","","Los Angeles CA"
"Kathy Fish","TRE / Yoga / Nervous System","Los Angeles CA, USA",Nervous System Reset,"Certified TRE provider in LA; combines TRE with yoga; works with trauma survivors; community classes and private sessions","","","","One of LA's leading TRE (Trauma Release Exercises) providers. Her combination of TRE with yoga creates accessible nervous system release for trauma survivors.","$100-250/session","","Los Angeles CA"
"Reboot Float Spa","Float Therapy / Premium Wellness","San Francisco CA, USA",Nervous System Reset,"SF's premier float center; multiple float rooms; combines with infrared sauna; beautiful facility; Bay Area destination","https://www.rebootfloatspa.com","@rebootfloatspa","","San Francisco's most premium float therapy destination. Their combination of float tanks with infrared sauna and beautiful facility design creates a comprehensive nervous system reset.","$75-125/float","Via rebootfloatspa.com","San Francisco CA"
"The Springs LA","Recovery / Bathhouse / Multiple Modalities","Los Angeles CA, USA",Nervous System Reset,"LA's premier wellness bathhouse; offers cold plunge, sauna, bodywork, community; Arts District location; membership model","https://www.thespringsla.com","@thespringsla","","LA's most comprehensive wellness recovery space. Their Arts District bathhouse combines cold plunge, sauna, bodywork, and community for holistic nervous system restoration.","$40-100/visit; memberships available","Via thespringsla.com","Arts District, Los Angeles CA"
